"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"60" 10 2 9 3 0 28 28 0 0 0 0 0 0 0 0 10 5.78499667161 0.578499667161 4.32922236455e-09 6.83592769387e-10 4.32922236455e-08
"61" 10 3 9 3 0 28 28 0 0 0 0 0 0 0 0 10 5.7849980713 0.57849980713 9.22433186102e-12 7.05917121587e-12 9.22433186102e-11
"62" 10 4 9 3 0 28 28 0 0 0 0 0 0 0 0 10 5.78499807431 0.578499807431 2.04777594796e-14 7.15964705532e-14 2.04777594796e-13
"63" 11 1 15 2 0 40 58 0 0 0 0 0 0 0 0 14 8.26782367096 0.59055883364 -4.31761909347e-06 9.04422648356e-08 -6.04466673086e-05
"64" 11 2 15 2 0 40 58 0 0 0 0 0 0 0 0 14 8.26252750983 0.590180536416 -5.1193332735e-07 8.12087771104e-10 -7.1670665829e-06
"65" 11 3 15 2 0 40 58 0 0 0 0 0 0 0 0 14 8.26197427698 0.590141019784 -4.87665528264e-08 7.35586847893e-12 -6.8273173957e-07
"66" 11 4 15 2 0 40 58 0 0 0 0 0 0 0 0 14 8.26192188009 0.590137277149 -4.59370313053e-09 6.52688476217e-14 -6.43118438274e-08
"67" 12 1 64 26 0 181 335 0 0 0 0 0 0 0 0 21 13.0568202549 0.621753345473 2.50491837654e-06 2.06339269472e-07 5.26032859073e-05
"68" 12 2 64 26 0 181 335 0 0 0 0 0 0 0 0 21 13.0582939222 0.621823520103 2.13581115965e-09 1.5232809248e-08 4.48520343526e-08
"69" 12 3 64 26 0 181 335 0 0 0 0 0 0 0 0 21 13.0582952385 0.621823582786 2.81575459635e-12 1.95200184787e-08 5.91308465234e-11
"70" 12 4 64 26 0 181 335 0 0 0 0 0 0 0 0 21 13.0582952404 0.621823582875 5.98986655824e-15 2.4505145044e-08 1.25787197723e-13
"71" 13 1 6 0 0 16 26 0 0 0 0 0 0 0 0 8 5.1298536981 0.641231712262 -4.87589244035e-07 3.0483215215e-08 -3.90071395228e-06
"72" 13 2 6 0 0 16 26 0 0 0 0 0 0 0 0 8 5.12974831549 0.641218539436 -2.9902881607e-10 1.14165155373e-14 -2.39223052856e-09
"73" 13 3 6 0 0 16 26 0 0 0 0 0 0 0 0 8 5.12974825046 0.641218531308 -1.91701442342e-13 4.69275336585e-21 -1.53361153874e-12
"74" 13 4 6 0 0 16 26 0 0 0 0 0 0 0 0 8 5.12974825042 0.641218531303 -1.26844988035e-16 2.06413981847e-27 -1.01475990428e-15
"75" 14 1 6 11 0 45 95 0 0 0 0 0 0 0 0 13 7.77776082243 0.598289294033 4.11270886277e-08 2.42873169664e-11 5.3465215216e-07
"76" 14 2 6 11 0 45 95 0 0 0 0 0 0 0 0 13 7.77776920655 0.598289938966 1.11833370163e-13 1.27458146561e-22 1.45383381212e-12
