sphote	sppar	para	a	b	c	d	f	g	aa	bb	cc	lm	li
Limo	igno	Limo1igno3	1.1	1	0.5	0.5	0.45	0.3	1	0.8	0.4	1.9	1.7
Limo	igno	Limo1igno4	1.1	1	0.5	0.5	0.55	0.2	0.8	0.7	0.45	1.3	1.3
Limo	igno	Limo1igno5	0.9	0.85	0.5	0.3	0.3	0.25	1	0.9	0.4	1.45	1.3
Limo	igno	Limo1igno6	1	0.9	0.5	0.4	0.45	0.2	0.9	0.8	0.55	1.5	1.2
Limo	igno	Limo1igno7	1.05	0.95	0.6	0.45	0.55	0.35	0.9	0.7	0.4	1.7	1.4
Limo	igno	Limo1igno8	0.9	0.8	0.6	0.4	0.35	0.2	0.95	0.75	0.45	1.55	1.6
Dian	eleg	Dian1eleg1	1.55	1.4	0.9	0.55	0.6	0.3	1.6	1.4	0.9	1.8	2.2
Obme	eleg	Obme1eleg6	1.45	1.35	0.9	0.45	0.45	0.35	1.25	1.05	0.7	1.1	1.6
Limo	igno	Limo2igno1	0.85	0.8	0.5	0.45	0.35	0.2	0.9	0.85	0.55	1.25	1.6
Dian	eleg	Dian4eleg1	1.75	1.5	1.05	0.65	0.7	0.3	1.55	1.4	0.75	1.2	1.9
Dian	frat	Dian5frat1	1.6	1.3	0.9	0.5	0.7	0.3	1.35	0.7	1.05	1.1	1.7
Dian	frat	Dian5frat2	1.6	1.4	1.2	0.45	0.5	0.25	1.25	1.2	1	1.7	1.7
Dian	frat	Dian5frat3	1.6	1.5	1.1	0.3	0.5	0.3	1.3	1.2	0.8	1.3	1.6
Limo	igno	Limo1igno9	1.1	0.9	0.45	0.5	0.5	0.25	1	0.9	0.6	1.5	1.4
Disa	neif	Disa2neif1	0.8	0.7	0.5	0.35	0.3	0.15	0.8	0.7	0.35	0.7	1.1
Disa	eleg	Disa2eleg1	1.4	1.3	0.9	0.55	0.5	0.25	1.2	1	0.8	1.5	1.65
Disa	eleg	Disa2eleg2	1.5	1.3	0.9	0.4	0.45	0.25	1.3	1.2	0.85	1.6	1.8
